Vendor Code,Shop Name,Address,City,State,Zip Code,What3Words,Pickup Door,Floor Level,Pickup Instructions,Access Code,Business Hours,Primary Contact,Primary Phone,Active Status,In Service Area
champ-brand,Champ Brand,49 Elsom Parkway,South Burlington,VT,,,,,Call in advance to set up a time,,NA,Matthew Douglas,,true,YES
mixed-up-nut-butter,Mixed Up Nut Butter,1396 Marble Island Rd. #6,Colchester,VT,,seminar.squeaking.tone,,,"Call/text for pickup as needed, order will be left on front porch/front of garage if not at ""the office"" (home). I work from ""the office"" most days.

Unit #6. ///seminar.squeaking.tone",,NA - we dont have a retail shop.,Kent Arnold,18024482838,true,YES
vermont-brownie-company,Vermont Brownie Company,6655 Shelburne Road,Shelburne,VT,,,,,There will be a pickup table with keycard access. Once orders are marked as fulfilled they can be picked up any day or time. A keycard can be provided.,,Varied,Chris Trudel,18027526173,true,YES
waggle-woof-and-wander,Waggle Woof and Wander,66 Mountain Terr,Bristol,VT,,,,,On front porch in bin,,M-F,Myriah Cogswell,18022387439,true,NO
cathedral-arts,Cathedral Arts,2 Cherry Street,Burlington,VT,,arch.extra.begin,,,"Ring doorbell at the top of the hill if door is locked. Staff able to fulfill an inventory request are present
Tues-Fri 8:30 am to 4:30 pm; Peter Berton usually is present Mon-Wed 8:30 am - 4:30 pm. what three words address is: ///arch.extra.begin",,Tues-Fri 8:30 am-12:30 pm,Peter Berton,4012399713,true,YES
magpie-tiger,Magpie & Tiger,"15 State Street, Suite 101",Montpelier,VT,,,,,Please come to the front counter. Pick ups will be available there,,"Mon Closed, Tue to Fri, 11a to 6p; Sat 10a to 5p; Sun 11a to 3p",Elena Gustavson,8022322657,true,NO
butterfly-bakery-of-vermont,Butterfly Bakery of Vermont,698 South Barre Rd,Barre,VT,,,,,The driver can come through the green door in the back of the building.  Our shipping team will leave orders for Myti in the area by the door so they can be easily grabbed at pickup 24/7,,"Myti orders are left in the vestibule for your driver to pick up anytime once they’re marked as fulfilled on our end. The vestibule can be accessed 24/7, so it should never be an issue. There is always someone here M-F from 8:30 a.m. to 5 p.m., and though our little store used to be closed on Mondays from 8:30 a.m. to 4:30 p.m. (business hours for the warehouse when someone is present in the back area/warehouse), we now have that open every weekday, too!  ",Peter Cohn,8022434545,true,NO
smellit-vt,SmelLit VT,57 North St Apt B,Burlington,VT,,,,,We don't have a physical store our sales are online but we have an office in our apartment where we fulfill all orders. We have a camera doorbell you can click and let us know which order you are coming to pick up and we are going to handle to you.,,"Online Store 24/7
Fulfilling Orders 10-7 pm",Maria Fernanda Segovia,18023046951,true,YES
local-maverick,Local Maverick,100 Bank Street,Burlington,VT,,,,,We will coordinate to have the Myti team have access to our space and a dedicated pickup space where Myti orders/inventory will be prepped for your team to easily access!,,Varies,Ryan Nakhleh,8024984988,true,YES
hound-hot-sauce,Hound Hot Sauce,"25 Baycrest Drive, 507",South Burlington,VT,,gifted.elite.sketch,,,Ring the doorbell or text Sierra at 802-825-5790 and she will give you the order. ///gifted.elite.sketch,,N/A,Hope Swanke,8023388026,true,YES
lefusion-botanicals,Le'Fusion Botanicals,163 Partridge Road,Barre,VT,,,,,I have a drop box at the bottom of my driveway where orders will be left for pickup.,,7 days a week 8 AM - 5 PM,Kelly Kindestin,18022725531,true,NO
treeline-terrains,Treeline Terrains,"1297 Exchange St,",Middlebury,VT,,,,,,,5-Sep,Mike Rainville;Nathaniel Klein,8022142545,true,NO
back-home-bakery,Back Home Bakery,I-1 Grandview Drive,South Burlington,VT,,,,,"contact me with date and time you'll be here and I will either meet and give to you or leave product in a container outside of my door. My address is I-1 and that is building i apartment 1

Location: https://w3w.co/speaks.damage.shared",,"anytime. I do have another part time job which is very flexible so as long as I know when you're coming before you come, everything will be good to go",Wendi Shangraw,8023559456,true,YES
vermont-pure-herbs,Vermont Pure Herbs,5914 lower Newton road,Swanton,VT,,,,,All orders will be in grey delivery bin on front porch.,,By Appointment,Tammy Hudson,18023732676,true,NO
pravi-nutrition,PRAVI Nutrition,"110 Cherry St, Suite 3A",Burlington,VT,,,,,"Text/Call 802-233-7449 and I can meet driver with orders handoff.

#2045 is the door code",2045,7-Sep,Armin,18022337449,true,YES
sweet-basil-cards,Sweet Basil Cards,13 St. Louis Street,Burlington,VT,,,,,Please pick up at the front door.,,5-Sep,Megan Humphrey,8029226703,true,YES
shrubbly,Shrubbly,6 Ethan Allen Drive,South Burlington,VT,,,,,AGH Fulfillment,,N/A,Matt Sayre,18023436482,true,YES
autumn-records,Autumn Records,11 E. Allen St. Suite 2,Winooski,VT,,,,,"Orders will be bagged up behind the counter, come into the shop and pick up at the register!",,12-6pm - 7 days a week,Greg Davis,8025036779,true,YES
h2go-energy-water,h2go Energy Water,266 S Union Street,Burlington,VT,,,,,Orders will be placed on the steps outside the garage!,,5-Sep,William,18029995453,true,YES
dungeons-by-dan,Dungeons By Dan,77 Ledge Dr.,Milton,VT,,,,,Items will be in a box on the front porch/door.,,5-Sep,Daniel DiPietro,18025988539,true,NO
brave-coffee-and-tea,Brave Coffee and Tea,136 Demeritt Place,Waterbury,VT,,,,,"Come to the back door. If no one is going to be there, pick-up will be left outside the door.",,"T,W,F 9-2",Scott Weigand,18022440700,true,NO
glow-aesthetics-medical-spa,Glow Aesthetics Medical Spa​,,South Burlington,VT,,,,,,,,Jeff Bryant,,true,YES
small-oven-pastries,Small Oven Pastries,177 Maeck Farm Rd,Shelburne,VT,,,,,"Customer will be placing orders in insulated bags that we can pick up & take with us to keep the items chilled
Fulfillment will be at the Maeck Farm address temporarily as they are moving to a new commercial kitchen.  Fulfillment address will be updated when that happens.",,9-4 M-F,Elizabeth Berman,18024248192,true,YES
nu-chocolat,Nu Chocolat,180 Battery St Ste 110,Burlington,VT,,,,,"If you would like to pick orders up the same day they're placed, please call us ahead of time and we will be happy to pack up your order for same day pickup.",,5-Sep,Virginia Toohey,18023102753,true,YES
elli-parr-jewelry,Elli Parr Jewelry,"41 IDX , Ste. 150",South Burlington,VT,,,,,pickup order will be ready at POS checkout stand in main retail shop,,"Monday 9am - 5pm; Tuesday - Friday 10am - 6pm; Saturday
10am - 5pm; Sunday 11am - 4pm",Sara Nelson,6179010250,true,YES
beau-ties-of-vermont,Beau Ties of Vermont,69 Industrial Ave,Middlebury,VT,,,,,"Wait 2 business days before calling about unfulfilled items due to made-to-order items.
Just let us know ahead of time you're coming. Then come through the front door.",,7:30a - 3:30p,Valerie Bishop,8023880108,true,NO
ondine-perfume,Ondine Perfume,149 State Street,Montpelier,VT,,,,,At appointed pick up timing we will meet you at said address.,,By appointment,Maya Boffa,18022294259,true,NO
vermont-green-football-club,Vermont Green Football Club,"166 Athletic Dr, Shelburne, VT 05482",Burlington,VT,05482,,,,TBD,,24/7,Matthew Wolff,5166952986,true,YES
bw-williams-cutlery,B.W. Williams Cutlery,19 Cinda Street,South Burlington,VT,,,,,if possible give me a fairly accurate pickup time and knock loudly on the front door.,,"19-230, 4-6",Benjamin Williams,8023181818,true,YES
hootie-hoo,hootie hoo,40 Breezy Valley Ln,St George,VT,,,,,"This is out of our home, so call/text or ring the doorbell. We'll have the product outside on the front porch
if weather permits.",,5-Sep,Claire Zhu,18023450254,true,NO
holy-halvah,Holy Halvah,52 E River Road,Lincoln,VT,,,,,Please park in the lower lot (left side of building when facing from street) and enter either of the 32 doors from the lot. We'll see you!,,24/7,hello@holyhalvahvermont.com;Rebecca Freedner,8023243702,true,NO
rack-warehouse,Rack Warehouse,2500 Williston Rd,South Burlington,VT,,,,,Knock on back door OR come on in. Will have order ready by door OR find an associate who can help get order loaded.,,"Mon-Fri 9 AM- 6 PM, Sat 9 AM-5 PM, Sun Closed",Jillian Ojala,8002725362,true,YES
