Vendor Code,Shop Name,Address,City,State,Zip Code,Service Zone,What3Words,Pickup Door,Floor Level,Pickup Instructions,Access Code,Business Hours,Primary Contact,Primary Phone,Active Status
champ-brand,Champ Brand,49 Elsom Parkway,South Burlington,VT,,Chittenden Core,,,,Call in advance to set up a time,,NA,Matthew Douglas,,true
mixed-up-nut-butter,Mixed Up Nut Butter,1396 Marble Island Rd. #6,Colchester,VT,,Chittenden Core,seminar.squeaking.tone,,,"Call/text for pickup as needed, order will be left on front porch/front of garage if not at ""the office"" (home). I work from ""the office"" most days.

Unit #6. ///seminar.squeaking.tone",,NA - we dont have a retail shop.,Kent Arnold,18024482838,true
vermont-brownie-company,Vermont Brownie Company,6655 Shelburne Road,Shelburne,VT,,Chittenden Core,,,,There will be a pickup table with keycard access. Once orders are marked as fulfilled they can be picked up any day or time. A keycard can be provided.,,Varied,Chris Trudel,18027526173,true
waggle-woof-and-wander,Waggle Woof and Wander,66 Mountain Terr,Bristol,VT,,Addison County,,,,On front porch in bin,,M-F,Myriah Cogswell,18022387439,true
cathedral-arts,Cathedral Arts,2 Cherry Street,Burlington,VT,,Chittenden Core,arch.extra.begin,,,"Ring doorbell at the top of the hill if door is locked. Staff able to fulfill an inventory request are present
Tues-Fri 8:30 am to 4:30 pm; Peter Berton usually is present Mon-Wed 8:30 am - 4:30 pm. what three words address is: ///arch.extra.begin",,Tues-Fri 8:30 am-12:30 pm,Peter Berton,4012399713,true
magpie-tiger,Magpie & Tiger,"15 State Street, Suite 101",Montpelier,VT,,Washington County,,,,Please come to the front counter. Pick ups will be available there,,"Mon Closed, Tue to Fri, 11a to 6p; Sat 10a to 5p; Sun 11a to 3p",Elena Gustavson,8022322657,true
butterfly-bakery-of-vermont,Butterfly Bakery of Vermont,698 South Barre Rd,Barre,VT,,Washington County,,,,The driver can come through the green door in the back of the building.  Our shipping team will leave orders for Myti in the area by the door so they can be easily grabbed at pickup 24/7,,"Myti orders are left in the vestibule for your driver to pick up anytime once they’re marked as fulfilled on our end. The vestibule can be accessed 24/7, so it should never be an issue. There is always someone here M-F from 8:30 a.m. to 5 p.m., and though our little store used to be closed on Mondays from 8:30 a.m. to 4:30 p.m. (business hours for the warehouse when someone is present in the back area/warehouse), we now have that open every weekday, too!  ",Peter Cohn,8022434545,true
smellit-vt,SmelLit VT,57 North St Apt B,Burlington,VT,,Chittenden Core,,,,We don't have a physical store our sales are online but we have an office in our apartment where we fulfill all orders. We have a camera doorbell you can click and let us know which order you are coming to pick up and we are going to handle to you.,,"Online Store 24/7
Fulfilling Orders 10-7 pm",Maria Fernanda Segovia,18023046951,true
local-maverick,Local Maverick,100 Bank Street,Burlington,VT,,Chittenden Core,,,,We will coordinate to have the Myti team have access to our space and a dedicated pickup space where Myti orders/inventory will be prepped for your team to easily access!,,Varies,Ryan Nakhleh,8024984988,true
hound-hot-sauce,Hound Hot Sauce,"25 Baycrest Drive, 507",South Burlington,VT,,Chittenden Core,gifted.elite.sketch,,,Ring the doorbell or text Sierra at 802-825-5790 and she will give you the order. ///gifted.elite.sketch,,N/A,Hope Swanke,8023388026,true
lefusion-botanicals,Le'Fusion Botanicals,163 Partridge Road,Barre,VT,,Washington County,,,,I have a drop box at the bottom of my driveway where orders will be left for pickup.,,7 days a week 8 AM - 5 PM,Kelly Kindestin,18022725531,true
treeline-terrains,Treeline Terrains,"1297 Exchange St,",Middlebury,VT,,Addison County,,,,,,5-Sep,Mike Rainville,8022142545,true
back-home-bakery,Back Home Bakery,I-1 Grandview Drive,South Burlington,VT,,Chittenden Core,,,,"contact me with date and time you'll be here and I will either meet and give to you or leave product in a container outside of my door. My address is I-1 and that is building i apartment 1

Location: https://w3w.co/speaks.damage.shared",,"anytime. I do have another part time job which is very flexible so as long as I know when you're coming before you come, everything will be good to go",Wendi Shangraw,8023559456,true
vermont-pure-herbs,Vermont Pure Herbs,5914 lower Newton road,Swanton,VT,,Franklin County,,,,All orders will be in grey delivery bin on front porch.,,By Appointment,Tammy Hudson,18023732676,true
pravi-nutrition,PRAVI Nutrition,"110 Cherry St, Suite 3A",Burlington,VT,,Chittenden Core,,,,"Text/Call 802-233-7449 and I can meet driver with orders handoff.

#2045 is the door code",2045,7-Sep,Armin,18022337449,true
sweet-basil-cards,Sweet Basil Cards,13 St. Louis Street,Burlington,VT,,Chittenden Core,,,,Please pick up at the front door.,,5-Sep,Megan Humphrey,8029226703,true
shrubbly,Shrubbly,6 Ethan Allen Drive,South Burlington,VT,,Chittenden Core,,,,AGH Fulfillment,,N/A,Matt Sayre,18023436482,true
autumn-records,Autumn Records,11 E. Allen St. Suite 2,Winooski,VT,,Chittenden Core,,,,"Orders will be bagged up behind the counter, come into the shop and pick up at the register!",,12-6pm - 7 days a week,Greg Davis,8025036779,true
h2go-energy-water,h2go Energy Water,266 S Union Street,Burlington,VT,,Chittenden Core,,,,Orders will be placed on the steps outside the garage!,,5-Sep,,18029995453,true
dungeons-by-dan,Dungeons By Dan,77 Ledge Dr.,Milton,VT,,Chittenden Extended,,,,Items will be in a box on the front porch/door.,,5-Sep,Daniel DiPietro,18025988539,true
brave-coffee-and-tea,Brave Coffee and Tea,136 Demeritt Place,Waterbury,VT,,Washington County,,,,"Come to the back door. If no one is going to be there, pick-up will be left outside the door.",,"T,W,F 9-2",Scott Weigand,18022440700,true
glow-aesthetics-medical-spa,Glow Aesthetics Medical Spa​,,South Burlington,VT,,Chittenden Core,,,,,,,Jeff Bryant,,true
